epoch,time(s),train_loss,test_loss,test_error(%)
001,00021,1.356281,1.44355,52.88
002,00024,1.026426,1.08737,37.77
003,00018,0.868750,0.87925,30.83
004,00020,0.708694,0.85752,29.69
005,00016,0.650302,0.89321,28.60
006,00018,0.614655,0.73014,24.94
007,00016,0.576169,0.71479,23.03
008,00016,0.584066,0.79834,25.44
009,00016,0.585801,0.56269,19.20
010,00016,0.554207,0.56121,19.71
011,00016,0.601060,0.62636,20.76
012,00017,0.553529,0.67373,22.03
013,00016,0.431359,0.61745,20.07
014,00016,0.525646,0.72782,22.46
015,00016,0.470019,0.73279,22.80
016,00016,0.566854,0.60641,20.89
017,00016,0.466338,0.51715,17.41
018,00016,0.463787,0.53547,18.06
019,00023,0.448123,0.50094,17.38
020,00021,0.452879,0.57425,18.81
021,00020,0.422729,0.67065,20.75
022,00016,0.474172,0.46989,15.84
023,00019,0.468434,0.54869,19.02
024,00016,0.418666,0.44250,15.42
025,00017,0.367617,0.45261,15.24
026,00017,0.394568,0.51483,16.89
027,00016,0.414803,0.63821,20.55
028,00016,0.420314,0.44995,15.43
029,00017,0.382671,0.39485,13.43
030,00016,0.344273,0.41297,14.21
031,00016,0.401784,0.50211,16.60
032,00019,0.396872,0.53563,17.63
033,00018,0.348190,0.44025,14.62
034,00016,0.388312,0.52578,17.34
035,00017,0.332759,0.47793,15.99
036,00017,0.403258,0.48146,16.05
037,00017,0.348435,0.54347,17.67
038,00017,0.374988,0.49155,15.29
039,00017,0.312560,0.40785,14.09
040,00017,0.380512,0.43609,14.92
041,00029,0.350785,0.46771,15.30
042,00028,0.376675,0.35197,11.77
043,00029,0.371514,0.40483,13.39
044,00028,0.354205,0.43432,14.07
045,00028,0.334978,0.39975,13.14
046,00030,0.362951,0.41039,13.13
047,00028,0.383305,0.40449,13.44
048,00028,0.315144,0.43796,14.40
049,00029,0.306169,0.36199,12.34
050,00041,0.361150,0.36280,11.66
051,00028,0.311924,0.38355,12.83
052,00028,0.290663,0.32011,10.79
053,00029,0.309213,0.36866,12.31
054,00029,0.310079,0.30664,10.54
055,00028,0.311561,0.32939,10.89
056,00029,0.303948,0.31407,10.60
057,00028,0.289369,0.37688,12.21
058,00033,0.312155,0.34326,11.32
059,00034,0.302345,0.28197,9.50
060,00034,0.287059,0.33363,10.78
061,00034,0.279332,0.30648,10.18
062,00034,0.290872,0.32393,10.48
063,00036,0.265878,0.28989,9.84
064,00028,0.236159,0.28254,9.28
065,00028,0.226706,0.28040,9.63
066,00028,0.230350,0.28115,9.14
067,00032,0.254125,0.27340,8.95
068,00027,0.232461,0.27870,8.87
069,00027,0.211039,0.26484,8.68
070,00029,0.190972,0.25327,8.25
071,00028,0.181562,0.26274,8.53
072,00036,0.181255,0.26218,8.37
073,00029,0.179922,0.25384,8.34
074,00027,0.172037,0.22948,7.25
075,00028,0.168969,0.22133,7.29
076,00027,0.179633,0.24214,7.47
077,00040,0.142924,0.22006,7.22
078,00033,0.163752,0.25352,7.63
079,00030,0.151542,0.24013,7.43
080,00032,0.141221,0.22152,7.04
081,00032,0.116941,0.21386,6.75
082,00030,0.097574,0.23406,6.93
083,00039,0.125157,0.23019,6.61
084,00028,0.101438,0.20976,5.99
085,00027,0.094977,0.20811,6.02
086,00027,0.094361,0.21236,6.15
087,00027,0.086285,0.20514,5.70
088,00028,0.080867,0.20225,5.52
089,00026,0.060480,0.20396,5.46
090,00025,0.062370,0.20148,5.60
091,00026,0.052786,0.20578,5.48
092,00025,0.057055,0.20592,5.24
093,00025,0.047726,0.20581,5.22
094,00025,0.044000,0.20504,5.32
095,00026,0.053120,0.20170,5.28
096,00026,0.067776,0.20129,5.23
097,00025,0.066928,0.20217,5.16
098,00026,0.048863,0.20197,5.20
099,00026,0.047829,0.20297,5.13
100,00036,0.049513,0.20263,5.24
